trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.792, 'e': 0.992}",25,0,-111.84058305704413,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.78408, 'e': 0.984}",25,0,-155.47108446861523,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.7762392, 'e': 0.976}",25,0,-120.27331657524215,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.768476808, 'e': 0.968}",25,0,-97.43787774331788,"{0: 14, 1: 0, 2: 11, 3: 0, 4: 0}",0
5,False,"{'a': 0.76079203992, 'e': 0.96}",25,0,-140.29814224215684,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.7531841195208, 'e': 0.952}",25,0,-76.63758328036911,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.745652278325592, 'e': 0.944}",30,0,-236.35457397860955,"{0: 16, 1: 1, 2: 9, 3: 0, 4: 4}",0
8,False,"{'a': 0.7381957555423361, 'e': 0.9359999999999999}",25,0,-166.2777003882328,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.7308137979869127, 'e': 0.9279999999999999}",20,0,-127.88940903017381,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.7235056600070435, 'e': 0.9199999999999999}",25,0,-98.79261205317012,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.7162706034069731, 'e': 0.9119999999999999}",25,0,-139.11812941792795,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.7091078973729034, 'e': 0.9039999999999999}",25,0,-104.51676626424687,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.7020168183991743, 'e': 0.8959999999999999}",20,0,-148.0040441370175,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.6949966502151825, 'e': 0.8879999999999999}",20,0,-118.20802372226774,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.6880466837130307, 'e': 0.8799999999999999}",20,0,-66.06632076857532,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
16,False,"{'a': 0.6811662168759004, 'e': 0.8719999999999999}",20,0,-132.34527016799674,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
