trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.81769109251785,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-201.85539436324822,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.37063872791592,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.14693950813502,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.614575561167,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.03424206340377,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.73378357420286,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.54693881269242,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.85002635216082,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.21667677981806,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.18210191190866,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.59599555728238,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.25374951723737,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.98624875906371,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,4,-65.88953978622686,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.79523235499327,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,2,1.9063745847396658,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.13030013867066,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.15616062982964,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.00720906074312,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.58431530064414,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,12,-24.112292933179084,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.78398436580292,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,6,-31.198694682736043,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-223.57747373306228,"{0: 15, 1: 2, 2: 7, 3: 4, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.03296950287978,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-100.46699681897351,"{0: 12, 1: 4, 2: 9, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-263.17356207601625,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 6}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.44771543331973,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-224.18448752636317,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
